Id, Amenity, Centroid, Geometry
52490695,fast_food,"POINT (20.221068258880834 49.139602845466307)","LINEARRING (20.221031188964844 49.139625549316406, 20.221025466918945 49.139633178710938, 20.221080780029297 49.139644622802734, 20.221103668212891 49.139595031738281, 20.221118927001953 49.139598846435547, 20.221126556396484 49.139583587646484, 20.221044540405273 49.139564514160156, 20.221019744873047 49.139602661132812, 20.221042633056641 49.139610290527344, 20.221031188964844 49.139625549316406)"
52490696,fast_food,"POINT (20.220940335466146 49.139936160118395)","LINEARRING (20.220956802368164 49.139923095703125, 20.220956802368164 49.139915466308594, 20.220909118652344 49.139911651611328, 20.220897674560547 49.139949798583984, 20.220973968505859 49.139961242675781, 20.220979690551758 49.139923095703125, 20.220956802368164 49.139923095703125)"
54236969,place_of_worship,"POINT (20.297011185001068 49.04528442210627)","LINEARRING (20.297021865844727 49.045433044433594, 20.297033309936523 49.045455932617188, 20.297187805175781 49.045413970947266, 20.297176361083984 49.045394897460938, 20.297203063964844 49.045387268066406, 20.297267913818359 49.045307159423828, 20.297153472900391 49.045124053955078, 20.297185897827148 49.045112609863281, 20.297176361083984 49.045101165771484, 20.29719352722168 49.045097351074219, 20.297176361083984 49.045063018798828, 20.297067642211914 49.045093536376953, 20.297012329101562 49.045108795166016, 20.297023773193359 49.045124053955078, 20.296928405761719 49.045150756835938, 20.296966552734375 49.045204162597656, 20.296943664550781 49.045211791992188, 20.296791076660156 49.045257568359375, 20.296722412109375 49.045375823974609, 20.296749114990234 49.045417785644531, 20.296791076660156 49.045478820800781, 20.296930313110352 49.045440673828125, 20.296968460083008 49.045448303222656, 20.297021865844727 49.045433044433594)"
55864368,place_of_worship,"POINT (20.301455475855352 49.054912754369418)","LINEARRING (20.301637649536133 49.054893493652344, 20.301609039306641 49.055004119873047, 20.301504135131836 49.054988861083984, 20.3015079498291 49.054973602294922, 20.301332473754883 49.054954528808594, 20.301338195800781 49.054931640625, 20.30126953125 49.054924011230469, 20.301280975341797 49.054866790771484, 20.301307678222656 49.05487060546875, 20.301311492919922 49.054847717285156, 20.30140495300293 49.054859161376953, 20.301412582397461 49.054828643798828, 20.301473617553711 49.054832458496094, 20.301464080810547 49.054862976074219, 20.301544189453125 49.05487060546875, 20.301540374755859 49.054882049560547, 20.301637649536133 49.054893493652344)"
55864370,place_of_worship,"POINT (20.302304843384025 49.055061049120752)","LINEARRING (20.302030563354492 49.055099487304688, 20.302095413208008 49.054939270019531, 20.302541732788086 49.055019378662109, 20.302518844604492 49.055072784423828, 20.302566528320312 49.055080413818359, 20.302543640136719 49.055137634277344, 20.302494049072266 49.055130004882812, 20.302474975585938 49.055171966552734, 20.302030563354492 49.055099487304688)"
59594999,place_of_worship,"POINT (20.306177764202733 49.137047624172837)","LINEARRING (20.306339263916016 49.137107849121094, 20.306327819824219 49.137008666992188, 20.306238174438477 49.137016296386719, 20.306236267089844 49.137004852294922, 20.306156158447266 49.137008666992188, 20.306148529052734 49.136970520019531, 20.306083679199219 49.1369743347168, 20.306087493896484 49.137012481689453, 20.306055068969727 49.137012481689453, 20.306058883666992 49.137039184570312, 20.30601692199707 49.137042999267578, 20.306013107299805 49.137046813964844, 20.306018829345703 49.1370735168457, 20.306062698364258 49.1370735168457, 20.306066513061523 49.1370964050293, 20.306236267089844 49.137088775634766, 20.306238174438477 49.137107849121094, 20.306339263916016 49.137107849121094)"
59595019,public_building,"POINT (20.30786184230325 49.135983890622114)","LINEARRING (20.307811737060547 49.136093139648438, 20.307933807373047 49.136024475097656, 20.307916641235352 49.136013031005859, 20.308025360107422 49.135948181152344, 20.307933807373047 49.135879516601562, 20.307825088500977 49.135940551757812, 20.307809829711914 49.135929107666016, 20.307703018188477 49.135993957519531, 20.30775260925293 49.136028289794922, 20.307737350463867 49.136039733886719, 20.307811737060547 49.136093139648438)"
59595192,place_of_worship,"POINT (20.306695156803677 49.136251339476551)","LINEARRING (20.306674957275391 49.136154174804688, 20.306652069091797 49.136150360107422, 20.306570053100586 49.136314392089844, 20.306734085083008 49.136356353759766, 20.306819915771484 49.136184692382812, 20.306674957275391 49.136154174804688)"
59595273,place_of_worship,"POINT (20.308662414550781 49.137098312377923)","LINEARRING (20.308658599853516 49.137115478515625, 20.308687210083008 49.137100219726562, 20.308666229248047 49.137081146240234, 20.308637619018555 49.1370964050293, 20.308658599853516 49.137115478515625)"
64794686,place_of_worship,"POINT (20.239744464894983 49.132438879804468)","LINEARRING (20.239791870117188 49.132419586181641, 20.239830017089844 49.132389068603516, 20.239809036254883 49.132377624511719, 20.239770889282227 49.132404327392578, 20.23974609375 49.132392883300781, 20.239650726318359 49.1324577331543, 20.239652633666992 49.132480621337891, 20.239679336547852 49.132499694824219, 20.239723205566406 49.132499694824219, 20.239814758300781 49.1324348449707, 20.239791870117188 49.132419586181641)"
