WKT,osm_id,name,waterway
"LINESTRING (17.3042613 49.5142822,17.3042108 49.514078,17.303985 49.5136453,17.3039611 49.5134857,17.3036862 49.5132254,17.3034692 49.513074)","81872788",,stream
"LINESTRING (17.3573743 49.6294936,17.3570195 49.6293581,17.356811 49.6293355,17.3565662 49.6293462,17.3560454 49.6292749,17.3543313 49.6292748,17.3538673 49.6291862)","81873025",,stream
"LINESTRING (17.3608179 49.5998881,17.3605665 49.5989424,17.3602539 49.597933,17.360128 49.5975611,17.3600584 49.5973584,17.3597512 49.5965023,17.3596995 49.5964,17.3598611 49.5956425)","81873823",Lošovský potok,stream
"LINESTRING (17.2250468 49.6018807,17.2252072 49.6020431,17.2254191 49.6020393,17.2259863 49.6019529,17.2261339 49.601943,17.2265691 49.6020674,17.2271298 49.6019346,17.2271892 49.6019705,17.2277203 49.6025888,17.2278133 49.602599,17.2303166 49.6019262)","81874463",,stream
"LINESTRING (17.3432103 49.658979,17.3428296 49.6589934,17.342037 49.6590856)","81875461",,stream
"LINESTRING (17.366708 49.6487085,17.3658498 49.6491932,17.3647929 49.649862,17.3646516 49.6500354,17.3645527 49.6502321,17.3643862 49.6508989,17.3642921 49.6511233)","81875893",,stream
"LINESTRING (17.3311355 49.6507873,17.3303056 49.6505811)","81875972",,stream
"LINESTRING (17.2039545 49.6151784,17.2042653 49.6151874,17.2044493 49.6151592,17.2054999 49.6148136,17.2136324 49.6159819)","81876305",,stream
"LINESTRING (17.3691400173192 49.625762755175,17.3688216 49.6258638,17.3683999 49.6260649)","81876388",,stream
"LINESTRING (17.3648000789997 49.5361192520961,17.3643754 49.5360971,17.3630215 49.5358962,17.362776 49.5358131,17.362268 49.535444,17.3619582 49.5353107,17.3616066 49.5350865,17.3615004 49.5349323,17.3613448 49.5343323,17.3608897 49.5331576,17.3604412 49.532183,17.3600184 49.5316342,17.3594613 49.5311356,17.3590465 49.5300098,17.3589419 49.5294459,17.3587852 49.5292399,17.3588014 49.5290806,17.3588906 49.5288649,17.3588784 49.5287629,17.3588222 49.5286443,17.3585579 49.5284913,17.3580522 49.528319,17.3567859 49.5280432,17.355942 49.5276876,17.3550989 49.5272665,17.3546245 49.5271204,17.3541845 49.5270312,17.3539298 49.5268533,17.353828 49.5268672,17.3535583 49.527023,17.3530261 49.526961,17.3527971 49.5268726,17.3525499 49.5268784,17.3523958 49.5269411,17.3522279 49.5271085,17.3516473 49.5272126,17.3510754 49.5270514,17.3509608 49.5270466,17.3507807 49.5271,17.3505274 49.5270431,17.3496539 49.5271323,17.3491599 49.5271414,17.347739 49.5270238,17.3459945 49.527328,17.3449436 49.5274614,17.3437172 49.5274274,17.3430306 49.5272942,17.3429062 49.5271846,17.3426339 49.5268212,17.34248 49.5264921,17.3424425 49.5262923,17.3423264 49.5259942,17.342354 49.5257925,17.342286 49.5256991,17.3420355 49.5255075,17.3419596 49.5253499,17.3419192 49.5253066,17.3417047 49.5252,17.3413517 49.5251361)","81877700",Loučka,stream
