Id, Geometry
50888679,"POLYGON ((17.225898742675781 49.601242065429688, 17.2259521484375 49.601215362548828, 17.226022720336914 49.601173400878906, 17.226022720336914 49.601127624511719, 17.225996017456055 49.601089477539062, 17.225929260253906 49.601066589355469, 17.225799560546875 49.601089477539062, 17.225481033325195 49.601234436035156, 17.225160598754883 49.601455688476562, 17.223861694335938 49.60205078125, 17.223045349121094 49.602382659912109, 17.223024368286133 49.6024055480957, 17.2230281829834 49.6024284362793, 17.223049163818359 49.602439880371094, 17.223075866699219 49.602447509765625, 17.223129272460938 49.6024284362793, 17.223175048828125 49.602409362792969, 17.223226547241211 49.602382659912109, 17.223670959472656 49.602199554443359, 17.224319458007812 49.6019172668457, 17.225139617919922 49.6015625, 17.225898742675781 49.601242065429688))"
50902466,"POLYGON ((17.264987945556641 49.573757171630859, 17.264633178710938 49.573493957519531, 17.264547348022461 49.573444366455078, 17.264493942260742 49.573444366455078, 17.264335632324219 49.573482513427734, 17.26423454284668 49.573528289794922, 17.264205932617188 49.5736083984375, 17.264200210571289 49.573680877685547, 17.264245986938477 49.573753356933594, 17.264467239379883 49.573966979980469, 17.264656066894531 49.574153900146484, 17.264707565307617 49.574245452880859, 17.264820098876953 49.574306488037109, 17.264987945556641 49.574470520019531, 17.265199661254883 49.574680328369141, 17.265392303466797 49.574878692626953, 17.265518188476562 49.574958801269531, 17.265644073486328 49.574966430664062, 17.265762329101562 49.5749397277832, 17.265844345092773 49.574905395507812, 17.265844345092773 49.574821472167969, 17.265813827514648 49.574722290039062, 17.265748977661133 49.574611663818359, 17.265682220458984 49.574481964111328, 17.265628814697266 49.574371337890625, 17.265573501586914 49.574264526367188, 17.265499114990234 49.57415771484375, 17.26539421081543 49.574073791503906, 17.265266418457031 49.573970794677734, 17.265083312988281 49.573825836181641, 17.264987945556641 49.573757171630859))"
50921456,"POLYGON ((17.344030380249023 49.60711669921875, 17.344032287597656 49.607196807861328, 17.344358444213867 49.607295989990234, 17.34446907043457 49.607357025146484, 17.344577789306641 49.607357025146484, 17.344655990600586 49.6072998046875, 17.344640731811523 49.607250213623047, 17.344680786132812 49.607219696044922, 17.3447208404541 49.607185363769531, 17.344219207763672 49.60687255859375, 17.344144821166992 49.606876373291016, 17.344030380249023 49.60711669921875))"
50922600,"POLYGON ((17.179132461547852 49.622615814208984, 17.179502487182617 49.622257232666016, 17.179224014282227 49.622215270996094, 17.17913818359375 49.6223030090332, 17.178903579711914 49.622528076171875, 17.17890739440918 49.622566223144531, 17.178922653198242 49.622589111328125, 17.179004669189453 49.622642517089844, 17.179052352905273 49.622673034667969, 17.179170608520508 49.622753143310547, 17.179183959960938 49.622711181640625, 17.179161071777344 49.622653961181641, 17.179132461547852 49.622615814208984))"
50922602,"POLYGON ((17.202117919921875 49.636409759521484, 17.202011108398438 49.636455535888672, 17.201963424682617 49.636512756347656, 17.202095031738281 49.636619567871094, 17.202192306518555 49.636684417724609, 17.202325820922852 49.636634826660156, 17.202411651611328 49.636558532714844, 17.202402114868164 49.636516571044922, 17.202260971069336 49.636394500732422, 17.202205657958984 49.636383056640625, 17.202117919921875 49.636409759521484))"
50924818,"POLYGON ((17.17009162902832 49.643379211425781, 17.169828414916992 49.643428802490234, 17.169792175292969 49.6434440612793, 17.169773101806641 49.643474578857422, 17.169771194458008 49.643539428710938, 17.169784545898438 49.643577575683594, 17.16978645324707 49.643596649169922, 17.169809341430664 49.643619537353516, 17.169845581054688 49.643627166748047, 17.169895172119141 49.643623352050781, 17.169950485229492 49.643611907958984, 17.170000076293945 49.643589019775391, 17.170040130615234 49.6435546875, 17.1700496673584 49.643482208251953, 17.170068740844727 49.643478393554688, 17.170085906982422 49.643497467041016, 17.17011833190918 49.643508911132812, 17.1701602935791 49.643508911132812, 17.170225143432617 49.643501281738281, 17.170351028442383 49.643478393554688, 17.170385360717773 49.643459320068359, 17.17039680480957 49.643440246582031, 17.170402526855469 49.6434326171875, 17.170373916625977 49.643390655517578, 17.170351028442383 49.643356323242188, 17.170322418212891 49.643348693847656, 17.170307159423828 49.643341064453125, 17.170289993286133 49.643337249755859, 17.17009162902832 49.643379211425781))"
50941401,"POLYGON ((17.325521469116211 49.649761199951172, 17.325546264648438 49.649814605712891, 17.325645446777344 49.649929046630859, 17.32574462890625 49.649951934814453, 17.325925827026367 49.649948120117188, 17.326574325561523 49.64990234375, 17.326622009277344 49.649494171142578, 17.326623916625977 49.649276733398438, 17.32655143737793 49.649269104003906, 17.326517105102539 49.649238586425781, 17.326328277587891 49.6491584777832, 17.32585334777832 49.649143218994141, 17.325807571411133 49.6490478515625, 17.325471878051758 49.649074554443359, 17.325374603271484 49.649166107177734, 17.325372695922852 49.649250030517578, 17.32542610168457 49.649463653564453, 17.325460433959961 49.649604797363281, 17.325490951538086 49.649700164794922, 17.325521469116211 49.649761199951172))"
50942788,"POLYGON ((17.360380172729492 49.532451629638672, 17.360309600830078 49.532497406005859, 17.36029052734375 49.532630920410156, 17.360273361206055 49.532699584960938, 17.360292434692383 49.532756805419922, 17.36033821105957 49.5328254699707, 17.360549926757812 49.5329475402832, 17.360668182373047 49.533050537109375, 17.360734939575195 49.533168792724609, 17.360801696777344 49.533256530761719, 17.360891342163086 49.533424377441406, 17.360986709594727 49.533592224121094, 17.361045837402344 49.53375244140625, 17.361030578613281 49.533843994140625, 17.361043930053711 49.533935546875, 17.361118316650391 49.534107208251953, 17.361162185668945 49.534198760986328, 17.36121940612793 49.534248352050781, 17.361268997192383 49.534259796142578, 17.361320495605469 49.534309387207031, 17.361291885375977 49.534336090087891, 17.361345291137695 49.534381866455078, 17.361379623413086 49.534439086914062, 17.361371994018555 49.534496307373047, 17.361438751220703 49.534500122070312, 17.361572265625 49.534450531005859, 17.36163330078125 49.534400939941406, 17.361602783203125 49.534351348876953, 17.361467361450195 49.534217834472656, 17.361398696899414 49.5340690612793, 17.361320495605469 49.533809661865234, 17.36128044128418 49.533504486083984, 17.361278533935547 49.533294677734375, 17.361167907714844 49.533103942871094, 17.360891342163086 49.532512664794922, 17.360862731933594 49.532444000244141, 17.360847473144531 49.532394409179688, 17.360788345336914 49.5323600769043, 17.360725402832031 49.532356262207031, 17.360553741455078 49.532394409179688, 17.360481262207031 49.532421112060547, 17.360380172729492 49.532451629638672))"
50950014,"POLYGON ((17.178079605102539 49.637348175048828, 17.178085327148438 49.637382507324219, 17.178104400634766 49.637420654296875, 17.178129196166992 49.637443542480469, 17.178182601928711 49.637458801269531, 17.178241729736328 49.637458801269531, 17.178300857543945 49.637447357177734, 17.17833137512207 49.637432098388672, 17.178371429443359 49.637397766113281, 17.178411483764648 49.637359619140625, 17.178422927856445 49.6373291015625, 17.178436279296875 49.637294769287109, 17.17845344543457 49.637115478515625, 17.178428649902344 49.637100219726562, 17.178388595581055 49.637088775634766, 17.178337097167969 49.6370849609375, 17.178300857543945 49.637081146240234, 17.178256988525391 49.6370849609375, 17.178213119506836 49.637088775634766, 17.178167343139648 49.6370964050293, 17.178133010864258 49.637104034423828, 17.178108215332031 49.637119293212891, 17.178077697753906 49.63714599609375, 17.178047180175781 49.6371955871582, 17.178058624267578 49.637252807617188, 17.178070068359375 49.637310028076172, 17.178079605102539 49.637348175048828))"
51004372,"POLYGON ((17.357133865356445 49.6148567199707, 17.357173919677734 49.614780426025391, 17.357187271118164 49.61468505859375, 17.357120513916016 49.614646911621094, 17.356849670410156 49.614578247070312, 17.356855392456055 49.614837646484375, 17.356983184814453 49.614841461181641, 17.357133865356445 49.6148567199707))"
