Id, Amenity, Centroid, Geometry
5548226,parking,"POINT (17.2981342513947 49.599203906911406)","LINEARRING (17.298242568969727 49.599079132080078, 17.29832649230957 49.599277496337891, 17.298007965087891 49.599315643310547, 17.297941207885742 49.599140167236328, 17.298036575317383 49.59912109375, 17.298141479492188 49.599102020263672, 17.298242568969727 49.599079132080078)"
14963962,parking,"POINT (17.216188956920128 49.607722121976217)","LINEARRING (17.215888977050781 49.607704162597656, 17.215999603271484 49.607696533203125, 17.216098785400391 49.607673645019531, 17.216123580932617 49.60760498046875, 17.216093063354492 49.607540130615234, 17.216375350952148 49.6072998046875, 17.216951370239258 49.607513427734375, 17.216754913330078 49.607685089111328, 17.216470718383789 49.607585906982422, 17.215883255004883 49.60809326171875, 17.21586799621582 49.608116149902344, 17.215677261352539 49.608074188232422, 17.215461730957031 49.608108520507812, 17.215658187866211 49.607913970947266, 17.215785980224609 49.607894897460938, 17.21589469909668 49.607864379882812, 17.215921401977539 49.607780456542969, 17.215888977050781 49.607704162597656)"
16911089,parking,"POINT (17.247109436202184 49.578168060309388)","LINEARRING (17.247219085693359 49.578048706054688, 17.247230529785156 49.578231811523438, 17.247140884399414 49.578250885009766, 17.247129440307617 49.5782585144043, 17.247119903564453 49.578266143798828, 17.247116088867188 49.578273773193359, 17.247123718261719 49.578369140625, 17.247074127197266 49.578369140625, 17.2470645904541 49.578266143798828, 17.2470645904541 49.5782585144043, 17.247060775756836 49.5782470703125, 17.247007369995117 49.5782356262207, 17.24699592590332 49.578060150146484, 17.247062683105469 49.578048706054688, 17.247047424316406 49.578006744384766, 17.247100830078125 49.578006744384766, 17.247163772583008 49.578006744384766, 17.247148513793945 49.578044891357422, 17.247219085693359 49.578048706054688)"
16914580,marketplace,"POINT (17.255475916454543 49.589309774287841)","LINEARRING (17.25541877746582 49.589649200439453, 17.255073547363281 49.589309692382812, 17.254974365234375 49.589210510253906, 17.255533218383789 49.588970184326172, 17.255977630615234 49.589408874511719, 17.25541877746582 49.589649200439453)"
17505582,university,"POINT (17.262694687348269 49.590502813001592)","LINEARRING (17.262973785400391 49.590065002441406, 17.262983322143555 49.590152740478516, 17.263025283813477 49.59014892578125, 17.263029098510742 49.590290069580078, 17.262994766235352 49.590290069580078, 17.262992858886719 49.590366363525391, 17.262992858886719 49.590373992919922, 17.262765884399414 49.590377807617188, 17.262783050537109 49.590541839599609, 17.262828826904297 49.590538024902344, 17.262849807739258 49.590816497802734, 17.262765884399414 49.5908203125, 17.262779235839844 49.590988159179688, 17.262434005737305 49.590991973876953, 17.262414932250977 49.590702056884766, 17.262483596801758 49.590705871582031, 17.262479782104492 49.590553283691406, 17.262645721435547 49.590545654296875, 17.262639999389648 49.590461730957031, 17.262636184692383 49.590389251708984, 17.262508392333984 49.590389251708984, 17.262495040893555 49.590084075927734, 17.262973785400391 49.590065002441406)"
18767515,parking,"POINT (17.226425747102656 49.622501399192842)","LINEARRING (17.225616455078125 49.623001098632812, 17.225635528564453 49.623023986816406, 17.226795196533203 49.622650146484375, 17.227163314819336 49.622531890869141, 17.227291107177734 49.622489929199219, 17.227418899536133 49.622478485107422, 17.227487564086914 49.622455596923828, 17.227558135986328 49.6224365234375, 17.227239608764648 49.621971130371094, 17.225273132324219 49.622604370117188, 17.22559928894043 49.622978210449219, 17.225616455078125 49.623001098632812)"
18774063,place_of_worship,"POINT (17.221620486025863 49.642045000815941)","LINEARRING (17.221641540527344 49.642055511474609, 17.221611022949219 49.642063140869141, 17.221595764160156 49.642036437988281, 17.22161865234375 49.64202880859375, 17.221635818481445 49.642032623291016, 17.221643447875977 49.642040252685547, 17.221641540527344 49.642055511474609)"
23197002,library,"POINT (17.213459968566895 49.594438552856445)","LINEARRING (17.21379280090332 49.594627380371094, 17.213899612426758 49.594478607177734, 17.213127136230469 49.5942497253418, 17.213020324707031 49.594398498535156, 17.21379280090332 49.594627380371094)"
23197006,university,"POINT (17.214493212682168 49.594298735375425)","LINEARRING (17.212614059448242 49.5943489074707, 17.214488983154297 49.59490966796875, 17.215726852416992 49.595165252685547, 17.2159481048584 49.594875335693359, 17.216281890869141 49.594409942626953, 17.215778350830078 49.593921661376953, 17.214515686035156 49.593605041503906, 17.213850021362305 49.593482971191406, 17.213172912597656 49.593708038330078, 17.213022232055664 49.593841552734375, 17.212614059448242 49.5943489074707)"
23344425,place_of_worship,"POINT (17.251366791492057 49.595132758985038)","LINEARRING (17.250871658325195 49.595119476318359, 17.250898361206055 49.595115661621094, 17.250892639160156 49.595123291015625, 17.250890731811523 49.595127105712891, 17.250890731811523 49.595127105712891, 17.250890731811523 49.595130920410156, 17.250892639160156 49.595134735107422, 17.250890731811523 49.595138549804688, 17.250894546508789 49.595138549804688, 17.250898361206055 49.595142364501953, 17.25090217590332 49.595146179199219, 17.250905990600586 49.595146179199219, 17.250911712646484 49.595146179199219, 17.250911712646484 49.595149993896484, 17.250944137573242 49.595149993896484, 17.250957489013672 49.5952033996582, 17.250951766967773 49.5952033996582, 17.250961303710938 49.595237731933594, 17.2509765625 49.595294952392578, 17.251119613647461 49.595279693603516, 17.251115798950195 49.595272064208984, 17.25114631652832 49.595268249511719, 17.25115966796875 49.595321655273438, 17.251150131225586 49.595329284667969, 17.251157760620117 49.595333099365234, 17.251167297363281 49.5953254699707, 17.251237869262695 49.595317840576172, 17.251249313354492 49.5953254699707, 17.251255035400391 49.595317840576172, 17.251245498657227 49.595314025878906, 17.251235961914062 49.59527587890625, 17.251283645629883 49.595272064208984, 17.251331329345703 49.595268249511719, 17.251365661621094 49.595302581787109, 17.251358032226562 49.595317840576172, 17.251369476318359 49.595321655273438, 17.251379013061523 49.595306396484375, 17.251424789428711 49.595302581787109, 17.251426696777344 49.595317840576172, 17.251443862915039 49.595317840576172, 17.251441955566406 49.595298767089844, 17.251487731933594 49.595294952392578, 17.251499176025391 49.595306396484375, 17.251510620117188 49.595302581787109, 17.251497268676758 49.595291137695312, 17.251514434814453 49.595264434814453, 17.251516342163086 49.595264434814453, 17.251516342163086 49.595268249511719, 17.251523971557617 49.595268249511719, 17.25152587890625 49.595272064208984, 17.251533508300781 49.595272064208984, 17.251531600952148 49.595264434814453, 17.2515869140625 49.595260620117188, 17.2515869140625 49.595264434814453, 17.251594543457031 49.595264434814453, 17.251594543457031 49.595260620117188, 17.251670837402344 49.595252990722656, 17.251667022705078 49.595237731933594, 17.251674652099609 49.595233917236328, 17.251670837402344 49.595218658447266, 17.251739501953125 49.59521484375, 17.251752853393555 49.595230102539062, 17.25177001953125 49.595222473144531, 17.251754760742188 49.595207214355469, 17.251773834228516 49.595188140869141, 17.251800537109375 49.595191955566406, 17.251804351806641 49.595184326171875, 17.251777648925781 49.595176696777344, 17.251773834228516 49.595161437988281, 17.251798629760742 49.595149993896484, 17.251787185668945 49.595134735107422, 17.251810073852539 49.595111846923828, 17.2518367767334 49.595119476318359, 17.251842498779297 49.595108032226562, 17.251815795898438 49.595100402832031, 17.251808166503906 49.595073699951172, 17.251832962036133 49.595062255859375, 17.251823425292969 49.595054626464844, 17.251798629760742 49.595066070556641, 17.251762390136719 49.595046997070312, 17.25177001953125 49.59503173828125, 17.251743316650391 49.595024108886719, 17.251739501953125 49.594997406005859, 17.251762390136719 49.594989776611328, 17.251754760742188 49.5949821472168, 17.251729965209961 49.594989776611328, 17.25169563293457 49.594974517822266, 17.251705169677734 49.5949592590332, 17.251684188842773 49.594955444335938, 17.251676559448242 49.594970703125, 17.251611709594727 49.594978332519531, 17.251605987548828 49.5949592590332, 17.251588821411133 49.594963073730469, 17.2515926361084 49.594978332519531, 17.251537322998047 49.594985961914062, 17.251531600952148 49.594966888427734, 17.251514434814453 49.594970703125, 17.251518249511719 49.594985961914062, 17.251462936401367 49.594993591308594, 17.2514591217041 49.594974517822266, 17.251440048217773 49.594978332519531, 17.251443862915039 49.594993591308594, 17.251396179199219 49.595001220703125, 17.25139045715332 49.5949821472168, 17.251367568969727 49.594985961914062, 17.251373291015625 49.595001220703125, 17.25128173828125 49.595012664794922, 17.251277923583984 49.594993591308594, 17.251274108886719 49.594997406005859, 17.251272201538086 49.594993591308594, 17.251155853271484 49.595005035400391, 17.251157760620117 49.595008850097656, 17.251153945922852 49.595008850097656, 17.251157760620117 49.595024108886719, 17.251062393188477 49.595035552978516, 17.251052856445312 49.595001220703125, 17.251031875610352 49.595005035400391, 17.251033782958984 49.595012664794922, 17.251012802124023 49.595012664794922, 17.251008987426758 49.594997406005859, 17.250844955444336 49.595012664794922, 17.250871658325195 49.595119476318359)"
