WKT,name,waterway
"LINESTRING (20.2386403 49.1055816,20.240829 49.1043594,20.2442622 49.1027439,20.2461076 49.1018869,20.249691 49.0987399,20.2509034 49.0961687,20.2509852 49.0957822)",,stream
"LINESTRING (20.148325 49.1005733,20.1485878 49.1005241,20.1488936 49.1003485,20.1491135 49.1001975,20.1491994 49.1000254,20.1491886 49.0999095,20.1494193 49.0998498,20.1494622 49.0996987,20.1495749 49.0996496,20.149658 49.099625)",,stream
"LINESTRING (20.1512754 49.1047106,20.1513505 49.1045209,20.1517045 49.1042119,20.1517904 49.1038115,20.1518333 49.1033901,20.1518869 49.103081,20.151844 49.1026947,20.1518118 49.102491,20.1521444 49.1022943,20.1521873 49.1020555,20.1520479 49.1016902,20.1520264 49.1013811,20.1522839 49.1011704,20.1524234 49.1009597,20.1524341 49.1006857,20.1525521 49.1004188,20.1527345 49.1002291,20.1526487 49.1000886,20.1523697 49.0999552,20.1521552 49.0997585,20.1521337 49.0994494,20.1520586 49.0992176,20.1521766 49.0988733,20.1523161 49.0986907,20.1519191 49.0984729,20.1519728 49.0982271,20.1521981 49.0980725,20.1521552 49.0979671,20.1524126 49.0978266,20.152595 49.0975808,20.1526916 49.0973349,20.1528525 49.0971663,20.1531207 49.097082,20.1534212 49.0971312,20.1538825 49.0968783,20.1542365 49.096801,20.1546979 49.0967097,20.1547515 49.0965551,20.1551592 49.0964287,20.1552772 49.0962601,20.1552665 49.0959791,20.1551592 49.095677,20.1553631 49.0954943,20.1553523 49.0952765,20.1556206 49.0951501,20.1560604 49.0949955,20.1560926 49.094848,20.1564988 49.0947782,20.1567042 49.0945319,20.1569268 49.0942342,20.1569617 49.0941876,20.1571253 49.0939979,20.1571065 49.093889,20.1571441 49.0936765,20.1572111 49.0935711,20.1573801 49.0934411,20.1576644 49.0933498,20.1578468 49.093269,20.1581794 49.0931478,20.1588526 49.0926402,20.1591262 49.0923188,20.1591665 49.0916759,20.1590753 49.0913159,20.1589814 49.0911069,20.1587641 49.0909013,20.1587373 49.0907679,20.1587856 49.0906677,20.1587319 49.0905026,20.1586729 49.0903814,20.1586971 49.0902743,20.158858 49.0901829,20.1590297 49.0901654,20.1591691 49.090118,20.159373 49.0900213,20.1594534 49.0898246,20.159483 49.0896859,20.1594785 49.0895606)",,stream
"LINESTRING (20.1572245 49.099625,20.157069 49.0993932,20.1571119 49.0991859,20.1570636 49.0989998,20.1569456 49.0988452,20.15701 49.0986696,20.1571505 49.098439,20.1572299 49.0981884,20.1574069 49.0979777,20.1576322 49.0977775,20.1577342 49.0975492,20.1578736 49.0972646,20.158284 49.0968414,20.1583752 49.0965253,20.1584691 49.0961898,20.1584986 49.0959931,20.1584047 49.0957788,20.1583323 49.0956717,20.1581418 49.0955171,20.157997 49.0953766,20.1578924 49.095208,20.1577771 49.0950254,20.1576725 49.0949235,20.1574659 49.0948093,20.1573855 49.0947163,20.1572299 49.0945318,20.1570395 49.0943422,20.1569268 49.0942342)",,stream
"LINESTRING (20.1635814 49.1018939,20.1637155 49.1016902,20.1638281 49.1014514,20.1637959 49.1012547,20.1638067 49.1010159,20.1638871 49.100914,20.1637691 49.1006822,20.1639569 49.1004644,20.1639891 49.1002677,20.1641607 49.1001413,20.1645094 49.1001553,20.164504 49.1000078,20.1644987 49.0997444,20.1644558 49.0995864,20.1648635 49.0995337,20.1649708 49.0993862,20.1650351 49.0993019,20.1651478 49.0992035,20.165137 49.09907,20.165239 49.0988558,20.1654267 49.098782,20.1655126 49.0986731,20.1656467 49.0986134,20.1656735 49.0984097,20.1659632 49.0983043,20.1661456 49.0981744,20.1663548 49.0981182,20.1667947 49.0980514,20.1668215 49.097795,20.1668429 49.0977037,20.1671112 49.0976686,20.1672506 49.0974684,20.1673767 49.0973191,20.1673847 49.0971891,20.1673526 49.0971013,20.1674893 49.0970276,20.1675725 49.0969784,20.1676074 49.096815,20.1676583 49.0964901,20.167712 49.0963286,20.1680446 49.0960757,20.1682189 49.0960282,20.1682538 49.0959246,20.1682913 49.0958263,20.1684469 49.0957578,20.1686695 49.095605,20.1687902 49.0954399,20.168919 49.0953784,20.1689914 49.0952871,20.1690638 49.0951466,20.1692194 49.0949059,20.1692918 49.094769,20.1693347 49.0946811,20.1693468 49.0944897,20.1695117 49.0941112,20.1696955 49.0938969,20.1697639 49.0937441,20.1698202 49.0935948,20.1698175 49.0934815,20.1698229 49.0934051,20.169965 49.0932075,20.1700455 49.0930003,20.1700173 49.0927904,20.1699033 49.0926033,20.1697665 49.0924716,20.1697236 49.0923531,20.1697223 49.0922222,20.1697384 49.0921054,20.1698215 49.0919262,20.1699503 49.0918086,20.1702212 49.0915925,20.1706503 49.0912676,20.1710151 49.0910515,20.1711278 49.090933,20.1712283 49.0907635,20.1712404 49.090615,20.1713262 49.0904508,20.1714107 49.0903366,20.1714885 49.0901548,20.1718023 49.089858,20.1719606 49.0896894,20.1719955 49.0895488,20.1721725 49.0892397,20.1723415 49.0890886,20.1725051 49.0889446,20.1725748 49.0887812,20.1728672 49.0885318,20.1730201 49.0884967,20.1736638 49.0881823,20.1742646 49.0880084,20.1745999 49.0879574,20.1754555 49.0878397,20.1759839 49.0878011,20.1764318 49.0877062,20.176861 49.0876008,20.1771131 49.0875499,20.1775691 49.0874744,20.1777903 49.0874698,20.1781082 49.0873988,20.1783442 49.087246,20.1785266 49.087044,20.1791221 49.0869105,20.1795539 49.0868051,20.1802406 49.0864784,20.1805061 49.0861376,20.1807234 49.0859074,20.1808763 49.0857458,20.1809165 49.0856123)",,stream
"LINESTRING (20.1635599 49.0912509,20.1642358 49.0908996,20.1651585 49.0905272,20.1656613 49.0904111,20.1662636 49.0903235,20.1670682 49.0898317,20.1678944 49.089375,20.1684308 49.0890096,20.1690638 49.0889183,20.1695037 49.0887848,20.1701581 49.0885669,20.1715529 49.0883983,20.1724005 49.0883983,20.1730201 49.0884967)",,stream
"LINESTRING (20.1809165 49.0856123,20.1813376 49.0856334,20.1816487 49.085254,20.1820672 49.0850186,20.1825481 49.0849449)",,stream
"LINESTRING (20.170877 49.1067124,20.1710594 49.1063682,20.1711988 49.1061294,20.1716494 49.105996,20.1720786 49.1056307,20.1723683 49.1055183,20.1725008 49.1053606,20.1726043 49.1052374,20.1727545 49.1049002,20.1728833 49.1046474,20.1729047 49.1044156,20.1728833 49.1042119,20.1728189 49.1039871,20.1729154 49.103383,20.1728511 49.1029967,20.1729262 49.1027649,20.1728403 49.102505,20.1727545 49.1023224,20.1730871 49.1021187,20.173248 49.1018518,20.1731729 49.1015919,20.1732588 49.1013179,20.1736879 49.1008824,20.173763 49.1005803,20.1742136 49.1002151,20.174278 49.0998568,20.1742887 49.0995337,20.174042 49.0992878,20.1740849 49.099056,20.1743424 49.0990138,20.1742351 49.098775,20.1740849 49.0986345,20.1744389 49.0985081,20.1746106 49.0983114,20.1745677 49.0980936,20.1744282 49.097939,20.1747072 49.0978056,20.1746535 49.0975597,20.1748681 49.0974543,20.1748574 49.0972647,20.1750114 49.0970173)",,stream
"LINESTRING (20.1727545 49.1064806,20.1726365 49.1059538,20.1725008 49.1053606)",,stream
"LINESTRING (20.2188778 49.1132439,20.2191782 49.1131035,20.2195322 49.1128858,20.2199614 49.1126821,20.2203476 49.1124785,20.2205408 49.1123029,20.2207661 49.1122397,20.2208841 49.1121062,20.2210665 49.1119588,20.2218497 49.1117691,20.2222788 49.1116989,20.2225041 49.1113478,20.2226758 49.1110388,20.2230191 49.1107157,20.2236736 49.1101468,20.2239418 49.1098589,20.2244997 49.1095358,20.224961 49.1095288,20.2255082 49.1091284,20.2263129 49.1078853,20.2265274 49.1076957,20.2268278 49.1074779,20.2270853 49.1068528,20.2273267 49.1067861,20.2276057 49.1068072,20.227949 49.106758,20.2281797 49.1067369,20.2284908 49.1066878,20.2288181 49.1066175,20.2290058 49.1066,20.2301967 49.1061329,20.2303845 49.1060521,20.2305846 49.1059378,20.2310818 49.1060697,20.2314627 49.1061751,20.2315861 49.1063015,20.231806 49.1064209,20.2319777 49.1064876,20.2320743 49.1065578,20.2325517 49.1065438,20.2327394 49.1065614,20.2333349 49.1066386,20.2337855 49.1066492,20.2341932 49.1065438,20.2349335 49.1064244,20.2359849 49.10647,20.2375299 49.1065508,20.2387181 49.1066465,20.2389273 49.1067009,20.2395536 49.1068941,20.2399693 49.1070302,20.2401517 49.1070635,20.2403636 49.1070583,20.2405849 49.1070416,20.2408719 49.1069916,20.2413078 49.1069073,20.2422076 49.1067686,20.2428567 49.1066527,20.2432405 49.1066261,20.2450293 49.1067896,20.2453252 49.1068454)",,stream
